"","en","zh-CN","de","es","fr","ja","pl","ru"
"MISSION_DESR_BASE_DEFENCE","Alert! Rebels are attacking one of our military bases in the eastern region! We can't allow them to capture any more of our assets. Defend the base and destroy the rebel forces in the region!","Alert! Rebels are attacking one of our military bases in the eastern region! We can't allow them to capture any more of our assets. Defend the base and destroy the rebel forces in the region!","Alert! Rebels are attacking one of our military bases in the eastern region! We can't allow them to capture any more of our assets. Defend the base and destroy the rebel forces in the region!","¡Alerta! ¡Los rebeldes están atacando una de nuestras bases militares en la región oriental! No podemos permitir que capturen más de nuestros bienes. ¡Defiende la base y destruye las fuerzas rebeldes en la región!","Alerte ! Les rebelles attaquent une de nos bases militaires à l'est du pays ! Nous devons les empêcher de capturer une autre de nos positions stratégiques. Défendez la base et éliminez les forces rebelles dans la région.","アラート！ 反乱軍が東部の軍事基地の1つを攻撃している！ 彼らが我々の資産をこれ以上獲得することを許すことはできない。 基地を防衛し、地域の反乱軍を破壊する！","Alarm! Rebelianci rozpoczęli atak na jedną z naszych baz wojskowych na wschodzie kraju! Nie możemy pozwolić im na przejęcie kolejnych zapasów i sprzętu. Twoim zadaniem jest obronienie bazy i usunięcie rebeliantów z tego regionu.","Тревога! Повстанцы атакуют базу на востоке! Мы не можем потерять больше ни одной точки. Защити базу и атакуй форпост повстанцев!"
"MISSION_DESR_CONVOY","In this time of war many people are suffering. Our kind neighbour offered to send us a humanitarian convoy with food, water and medicine. The government does not believe in our good intentions, and won't allow the trucks to pass. We have to clear the way!","In this time of war many people are suffering. Our kind neighbour offered to send us a humanitarian convoy with food, water and medicine. The government does not believe in our good intentions, and won't allow the trucks to pass. We have to clear the way!","In this time of war many people are suffering. Our kind neighbour offered to send us a humanitarian convoy with food, water and medicine. The government does not believe in our good intentions, and won't allow the trucks to pass. We have to clear the way!","En este tiempo de guerra muchas personas están sufriendo. Nuestro amable vecino se ofreció a enviarnos un convoy humanitario con alimentos, agua y medicamentos. El gobierno no cree en nuestras buenas intenciones y no permitirá que los camiones pasen. ¡Tenemos que despejar el camino!","De nombreuses personnes souffrent en ces temps de guerre. Notre voisin voudrait nous envoyer nourriture et médicaments, mais le gouvernement ne croit pas à nos bonnes intentions et ne laisse pas passer le convoi. Nous devons libérer le passage !","この時期の戦争に多くの人々が苦しんでいる。 我々の親切な隣人が、食糧、水、薬の人道救援物資を我々に送ることを提案した。 政府は我々の善意を信じておらず、トラックを通過させないだろう。 我々は道をクリアする必要がある！","W czasie wojny wielu postronnych ludzi cierpi. Nasz szczodry sąsiad zaoferował przysłanie konwoju humanitarnego, który dostarczy jedzenie, wodę i lekarstwa. Rząd nie wierzy jednak w nasze dobre intencje i nie zamierza przepuścić ciężarówek. Musimy oczyścić drogę!","В это время войны страдают люди. Наш добрый сосед отправил конвой с гуманитарной помощью. Правительство не верит в нашу победу и не дает грузовики с поддержкой. Нам придется прочистить путь!"
"MISSION_DESR_CRASH_SITE","The plane we attacked went down deep within the forest. We must not allow anyone to reach the crash site. Without the wreckage, no one will be able to prove by whom and how it was destroyed. International investigators are on their way, we have to stop them.","The plane we attacked went down deep within the forest. We must not allow anyone to reach the crash site. Without the wreckage, no one will be able to prove by whom and how it was destroyed. International investigators are on their way, we have to stop them.","The plane we attacked went down deep within the forest. We must not allow anyone to reach the crash site. Without the wreckage, no one will be able to prove by whom and how it was destroyed. International investigators are on their way, we have to stop them.","El avión que atacamos se hundió en lo profundo del bosque. No debemos permitir que nadie llegue al lugar del accidente. Sin los restos, nadie podrá probar por quién y cómo fue destruido. Los investigadores internacionales están en camino, tenemos que detenerlos.","L'avion que nous avons abattu s'est écrasé dans la forêt. Personne ne doit pouvoir rejoindre le site du crash car sans les débris, personne ne pourra savoir qui l'a détruit ni comment. Les enquêteurs internationaux sont en route, nous devons les arrêter.","我々が攻撃した飛行機が、、森の中深く落ちた。 我々は誰も墜落現場に到達することを許してはならない。 残骸がなければ、誰がどのように破壊したかをだれも証明することはできない。 国際捜査官が途上にあり、我々は彼らを止めなければならない。","Zestrzelony samolot rozbił się głęboko w lesie. Nie możemy dopuścić, aby ktokolwiek dostał się do wraku. Bez niego nie będzie można udowodnić, że była to nasza wina. Międzynarodowi śledczy są już w drodze, nie możemy dopuścić, aby tam dotarli.","Атакованный нами самолет упал где-то в лесу. Мы не должны никому дать достичь места аварии. Без данных о крушении никто никогда не узнает ничего о нем. Междунвродные исследователи уже в пути, и мы должны их остановить."
"MISSION_DESR_EASTERN_CITY","Even though the events of MayDay Square allowed for a relatively peaceful change of government, there is still a lot of tension. We have reports of a group of militants loyal to the old president. Find and capture their center of operations before their actions cause civil war.","尽管“五一广场”的事件使政府相对和平地更替了，但仍存在许多紧张局势。我们收到了一份报告，称有一群忠于前总统的激进分子。在他们的行动引发内战之前，找到并捕获他们的行动中心。","Even though the events of MayDay Square allowed for a relatively peaceful change of government, there is still a lot of tension. We have reports of a group of militants loyal to the old president. Find and capture their center of operations before their actions cause civil war.","Aunque los eventos de la Plaza MayDay permitieron un cambio de gobierno relativamente pacífico, todavía hay mucha tensión. Tenemos informes de un grupo de militantes leales al viejo presidente. Encuentra y captura su centro de operaciones antes de que sus acciones causen una guerra civil.","Les événements récents ont permis un changement relativement pacifique de gouvernement, il existe malgré tout des tensions. Un groupe de militants loyaux à l'ancien président a été localisé. Capturez les avant qu'ils ne provoquent une guerre civile.","メーデー広場のイベントが比較的平和な政権交代を許したとしても、まだ多くの緊張がある。 旧大統領に忠実な武装集団の報告がある。 彼らの行動が内戦を引き起こす前に、彼らの活動の中心を見つけて捕らえろ。","Mimo, że wydarzenia na Placu Mayday zakończyły się pokojową władzy, sytuacja w kraju pozostaje napięta. Otrzymaliśmy raporty o grupach milicji lojalnych obalonemu prezydentowi. Odnajdź i zajmij ich centrum operacyjne zanim wywołają wojnę domową.","Спустя события, отряд МэйДэй, мирнейшим образом сменившее правительство, осталось еще много ''натяжек''. У нас естьпроблемы с войсками старого президента. Найдите и захватите их базу, пока их действия не разожгли гражданской войны."
"MISSION_DESR_FIELD_COMMAND","These separatists just shot down a civilian airplane, hundreds of people died! Their violence has to stop! Our scouts have found the enemy field command center for this region. Our resources are limited, but we should be able to gather more men and tanks in the nearby city.","These separatists just shot down a civilian airplane, hundreds of people died! Their violence has to stop! Our scouts have found the enemy field command center for this region. Our resources are limited, but we should be able to gather more men and tanks in the nearby city.","These separatists just shot down a civilian airplane, hundreds of people died! Their violence has to stop! Our scouts have found the enemy field command center for this region. Our resources are limited, but we should be able to gather more men and tanks in the nearby city.","Estos separatistas derribaron un avión civil, ¡cientos de personas murieron! ¡Su violencia tiene que parar! Nuestros exploradores han encontrado el centro de mando enemigo de esta región. Nuestros recursos son limitados, pero deberíamos poder reunir más hombres y tanques en la ciudad.","Les séparatistes viennent de détruire un avion civil, des centaines de personnes sont mortes. Nous devons les stopper ! Nos éclaireurs ont trouvé leur QG local. Nos ressources sont limitées mais nous rassemblerons des troupes dans la ville voisine.","これらの分離派は民間航空機を撃墜しただけで数百人が死亡した！ 彼らの暴力を止める必要がある！ 我々の偵察兵が、この地域の敵実施部隊司令部を発見した。 我々の資源は限られているが、近くの都市にもっと多くの人と戦車を集めることができるはずだ。","Separatyści właśnie zestrzelili cywilny samolot rejsowy, zginęły setki ludzi! Ich występki muszą zostać ukrócone! Nasi zwiadowcy namierzyli centrum dowodzenia wroga w tym rejonie. Zasoby są ograniczone, ale powinniśmy móc zrekrutować więcej żołnierzy w pobliskim mieście.","Эти сеператисты захватили мирный аэропорт, тысячи невинных убиты! Наши скауты заметили базу полевой команды. Наши ресурсы ограничены, но мы должны набрать войск в ближайшем городе."
"MISSION_DESR_MAYDAY_SQUARE","After days of protests, we finally say enough is enough. Corruption and abuse must stop! Protesters of MayDay Square are ready to fight! Take command of the freedom fighters and assault the Presidental Palace.","经过数日的抗议，我们已经说够了。腐败和虐待必须停止！五一广场的抗议者已经准备好战斗了！接管自由战士的指挥权，攻占总统府。","After days of protests, we finally say enough is enough. Corruption and abuse must stop! Protesters of MayDay Square are ready to fight! Take command of the freedom fighters and assault the Presidental Palace.","Después de días de protestas, finalmente decimos que ya es suficiente. ¡La corrupción y el abuso deben detenerse! ¡Los manifestantes de la Plaza MayDay están listos para luchar! Toma el mando de los luchadores por la libertad y asalta el Palacio Presidencial.","Après des jours de contestation, les limites de notre patience sont atteintes. La corruption et les abus doivent cesser. Les manifestants du square Mayday sont prêts à se battre ! Prenez le commandement et donnez l'assaut au palais présidentiel.","抗議の日の後、我々は最終的に満足と言おう。 腐敗と弾圧を止めなければならない！ メーデー広場の抗議者たちは戦う準備ができている！ 自由闘士の指揮をとり、大統領宮殿を攻撃する。","Po wielu dniach protestów miara się przebrała. Korupcja i nadużycia muszą się skończyć! Protestujący zebrani na Placu Mayday są gotowi do walki! Obejmij dowodzenie nad tymi bojownikami o wolność i zajmij Pałac Prezydencki","После долгих протестов мы окончательно говорим дочтаточно. Коррупция и чистоплюйство должны быть остановлены! Протестующие уже готовы. Возьмите над ними командование и захватите здание президента."
"MISSION_DESR_PENINSULA","Days of fighting are finnally paying off. Now we have the support of our strong neighbouring country. We are ready to push the usurpers out of the peninsula. When we succeed, there will be no way for them to re-take it. This will be our greatest victory!","Days of fighting are finnally paying off. Now we have the support of our strong neighbouring country. We are ready to push the usurpers out of the peninsula. When we succeed, there will be no way for them to re-take it. This will be our greatest victory!","Days of fighting are finnally paying off. Now we have the support of our strong neighbouring country. We are ready to push the usurpers out of the peninsula. When we succeed, there will be no way for them to re-take it. This will be our greatest victory!","Los días de lucha finalmente están dando sus frutos. Ahora tenemos el apoyo de nuestro fuerte país vecino. Estamos listos para expulsar a los usurpadores de la península. Cuando lo logremos, no habrá forma de que la vuelvan a tomar. ¡Esta será nuestra mayor victoria!","Ces derniers jours de combat ont été payants. Nous avons maintenant le soutien de notre puissant pays voisin. Nous sommes prêts à expulser les usurpateurs de la péninsule. Ils n'auront aucun moyen de la reprendre et ce sera une belle victoire !","戦いの日々は最終的に成功している。 今、我々は強い隣国の支援を受けるようになった。 我々は、略奪者を半島から追い出す準備ができた。 我々が成功すると、彼らが奪還する方法はなくなる。 これが我々の最大の勝利になるだろう！","Wiele dni walk w końcu zaczynają przynosić korzyści. Uzyskaliśmy wsparcie od silnego kraju sąsiedzkiego. Jesteśmy gotowi usunąć uzurpatorów z całego półwyspu. Jeżeli nam się uda, nie będą już w stanie go odbić. To będzie wspaniałe zwycięstwo!","Дни сражений уже окупаются. Теперь у нас есть есть союз с сильной державой. Мы готовы выгнать несогласных вон из полуострова. Когда мы победим, у них не будет сил отобрать его. Это будет славная победа!"
"MISSION_DESR_RECAPTURE","The situation is deteriorating quickly. We have to start pushing back, or we will lose all of our progress in this conflict. We are ready to liberate the city, where the rebels began their operations. Let us show them, and the people, that simple bandits are no match for our military.","The situation is deteriorating quickly. We have to start pushing back, or we will lose all of our progress in this conflict. We are ready to liberate the city, where the rebels began their operations. Let us show them, and the people, that simple bandits are no match for our military.","The situation is deteriorating quickly. We have to start pushing back, or we will lose all of our progress in this conflict. We are ready to liberate the city, where the rebels began their operations. Let us show them, and the people, that simple bandits are no match for our military.","La situación se está deteriorando rápidamente. Tenemos que empezar a retroceder o perderemos todo nuestro progreso en este conflicto. Estamos listos para liberar la ciudad, donde los rebeldes comenzaron sus operaciones. Permítanos mostrarles, y la gente, que los simples bandidos no son rival para nuestro ejército.","La situation se détériore rapidement. Nous devons les repousser, sinon nous perdrons tout ce que nous avons gagné jusqu'ici. Nous sommes prêts à libérer la ville où se trouvent les rebelles. Montrons leurs qu'ils ne font pas le poids face à nous.","状況は急速に悪化している。 我々は後退を開始しなければならない。さもないと、この紛争の進展をすべて失うことになる。 我々は反政府勢力が作戦を開始した都市を解放する準備が整っている。 我々の軍隊が単なる盗賊の相手にはならないことを、彼らや人々に示そう。","Sytuacja pogarsza się z każdą chwilą. Musimy zacząc działać, albo cała nasza walka pójdzie na marne. Jesteśmy gotowi odbić miasto, w którym rozpoczęła się cała rebelia. Pokażmy im, oraz naszym obywatelom, że nie zwykli bandyci nie są wyzwaniem dla naszej armii.","Собыьия разворачиваются быстро. Мы должны начать перехват, или потеряем весь прогресс в этой войне. Мы готовы обратить город, где повстанцы собиртся разворачивать свои события. Дайте нам начать, и у простых бандитов не будет ни шанса победить."
"MISSION_DESR_RIOTS","The current government came to power by attacking our dear leader! And they dare to call us the rebels! New authorities are still weak. We should use this opportunity to take over key administration offices. Our forces are standing by and awaiting your orders!","The current government came to power by attacking our dear leader! And they dare to call us the rebels! New authorities are still weak. We should use this opportunity to take over key administration offices. Our forces are standing by and awaiting your orders!","The current government came to power by attacking our dear leader! And they dare to call us the rebels! New authorities are still weak. We should use this opportunity to take over key administration offices. Our forces are standing by and awaiting your orders!","¡El actual gobierno llegó al poder atacando a nuestro querido líder! ¡Y se atreven a llamarnos los rebeldes! Las nuevas autoridades aún son débiles. Deberíamos aprovechar esta oportunidad para encargarnos de las oficinas administrativas clave. ¡Nuestras fuerzas están esperando tus ordenes!","L'actuel gouvernement est arrivé au pouvoir en attaquant notre leader. Et ils osent nous qualifier de rebelles ! Les nouvelles autorités sont encore faibles. Nous devons saisir cette occasion pour occuper les administrations. Nos forces attendent vos ordres !","現政府は我々の親愛なる指導者を攻撃して力を発揮している！ 彼らは我々を敢えて反逆者と呼んでいる！ 新しい当局は依然として弱い。 この機会に、重要な管理本部を引き継ぐべきだ。 我々の軍隊は準備を整えて、あなたの命令を待機している！","Obecny rząd doszedł do władzy atakując naszego przywódcę! I oni śmią nas nazywać rebeliantami!? Nowa administracja jest słaba. Musimy wykorzystać tą okazję i zając biura administracji. Nasze oddziały czekają na Twoje rozkazy!","Текущее правительство вошло в силу путем атаки нашего Лидера! И они смеют называть нас повстанцами! Новые авторитеты еще слабы. Мы должны использовать это, чтобы взять верх над административными зданиями. Наши войска стоят у границы и ждут приказаний!"
"MISSION_TITLE_AIRPLANE","Airplane","Airplane","Airplane","Avión","Avion","飛行機","Samolot","Аэроплан"
"MISSION_TITLE_AIRPORT_PT_1","Airport Pt.1","Airport Pt.1","Airport Pt.1","Aeropuerto Parte.1","Aéroport Pt.1","空港 パート1","Lotnisko Akt 1.","Аэропорт Ч.1"
"MISSION_TITLE_AIRPORT_PT_2","Airport Pt.2","Airport Pt.2","Airport Pt.2","Aeropuerto Parte.2","Aéroport Pt.2","空港 パート2","Lotnisko Akt 2.","Аэропорт Ч.2"
"MISSION_TITLE_AIRPORT_PT_3","Airport Pt.3","Airport Pt.3","Airport Pt.3","Aeropuerto Parte.3","Aéroport Pt.3","空港 パート3","Lotnisko Akt 3.","Аэропорт Ч.3"
"MISSION_TITLE_BASE_ASSAULT","Base Assault","Base Assault","Base Assault","Asalto a la base","Assaut sur la base","基地急襲","Szturm na bazę","Обычный захват"
"MISSION_TITLE_BASE_DEFENCE","Base Defence","Base Defence","Base Defence","Defensa de la base","Défense de la base","基地防衛","Utrzymanie","Защита базы"
"MISSION_TITLE_CONVOY","Convoy","Convoy","Convoy","Convoy","Convoi","護送","Konwój","Конвой"
"MISSION_TITLE_CRASH_SITE","Crash Site","Crash Site","Crash Site","Lugar del accidente","Zone de crash","墜落現場","Punkt rozbicia","Место аварии"
"MISSION_TITLE_EASTERN_CITY","Eastern city","Eastern city","Eastern city","Eastern city","Ville de l'Est","東部の都市","Wschodnie miasto","Город на востоке"
"MISSION_TITLE_FIELD_COMMAND","Field Command","Field Command","Field Command","Field Command","Ordre de bataille","実施部隊司令部","Dowództwo Polowe","Полевая команда"
"MISSION_TITLE_MAYDAY_SQUARE","MayDay Square","五一广场","MayDay Square","Plaza MayDay","Square MayDay","メーデー広場","Plac MayDay","МэйДэй отряд"
"MISSION_TITLE_PENINSULA","Peninsula","Peninsula","Peninsula","Península","Péninsule","半島","Półwysep","Полуостров"
"MISSION_TITLE_RECAPTURE","Recapture","Recapture","Recapture","Reconquista","Reprise","奪還","Kontratak","Перехват"
"MISSION_TITLE_RIOTS","Riots","Riots","Riots","Disturbios","Rebelles","暴動","Zamieszki","Перебранки"
